episode,reward,total_burned,epsilon,steps,q_table_size
258,-359.0,411,0.0748,21,927
259,-451.0,501,0.074,20,927
260,-306.0,368,0.0733,24,927
261,-323.0,367,0.0726,17,928
262,-460.0,512,0.0718,23,929
263,-330.0,378,0.0711,20,931
264,-373.0,425,0.0704,22,932
265,-344.0,412,0.0697,31,936
266,2.0,10,0.069,5,936
267,-485.0,537,0.0683,22,938
268,-398.0,448,0.0676,24,939
269,-326.0,378,0.067,34,946
270,-318.0,366,0.0663,20,946
271,-479.0,527,0.0656,23,948
272,-533.0,593,0.065,27,948
273,-408.0,456,0.0643,24,948
274,-368.0,410,0.0637,22,948
275,-441.0,487,0.063,23,949
276,-393.0,437,0.0624,19,950
277,-149.0,177,0.0618,18,954
278,-405.0,463,0.0612,21,956
279,-389.0,437,0.0606,22,957
280,-372.0,428,0.06,26,959
281,-329.0,375,0.0594,20,959
282,-349.0,405,0.0588,23,961
283,-399.0,453,0.0582,25,961
284,-3.0,19,0.0576,6,961
285,-289.0,337,0.057,21,962
286,-388.0,440,0.0565,24,962
287,-386.0,444,0.0559,24,962
288,-400.0,442,0.0553,21,963
289,-338.0,378,0.0548,26,965
290,-321.0,371,0.0542,21,965
291,-312.0,360,0.0537,22,967
292,-447.0,511,0.0531,22,968
293,-408.0,450,0.0526,22,968
294,-371.0,419,0.0521,23,970
295,-284.0,330,0.0516,21,972
296,-391.0,439,0.0511,21,973
297,-360.0,402,0.0505,24,980
298,-400.0,440,0.05,20,982
299,-422.0,468,0.0495,21,982
300,-420.0,466,0.049,26,982
301,-304.0,348,0.0486,17,982
302,-382.0,440,0.0481,19,983
303,-370.0,430,0.0476,26,984
304,-465.0,513,0.0471,21,985
305,-289.0,337,0.0466,21,987
306,-472.0,520,0.0462,24,988
307,-401.0,449,0.0457,22,988
308,-339.0,405,0.0453,25,991
309,-327.0,367,0.0448,24,996
310,-483.0,527,0.0444,20,997
311,-351.0,405,0.0439,22,1000
312,-431.0,485,0.0435,25,1002
313,-364.0,414,0.043,20,1003
314,-408.0,470,0.0426,24,1004
315,-403.0,451,0.0422,23,1004
316,-414.0,472,0.0418,23,1008
317,-387.0,441,0.0413,23,1008
318,-315.0,371,0.0409,21,1008
319,-355.0,403,0.0405,21,1010
320,-399.0,455,0.0401,25,1011
321,-95.0,121,0.0397,17,1015
322,-303.0,363,0.0393,32,1020
323,-308.0,362,0.0389,25,1021
324,-381.0,429,0.0385,20,1022
325,-229.0,259,0.0381,21,1025
326,-323.0,383,0.0378,27,1025
327,-448.0,498,0.0374,24,1027
328,-356.0,398,0.037,26,1028
329,-277.0,331,0.0366,21,1030
330,-265.0,309,0.0363,18,1032
331,-367.0,415,0.0359,23,1033
332,-344.0,404,0.0356,26,1034
333,-223.0,279,0.0352,23,1037
334,-375.0,433,0.0348,20,1039
335,-346.0,388,0.0345,17,1041
336,-249.0,299,0.0342,26,1046
337,-421.0,479,0.0338,24,1047
338,-410.0,454,0.0335,21,1047
339,-332.0,384,0.0331,20,1047
340,-96.0,126,0.0328,12,1049
341,-408.0,450,0.0325,21,1050
342,-451.0,509,0.0322,27,1051
343,-316.0,370,0.0318,23,1053
344,-493.0,539,0.0315,25,1054
345,-276.0,330,0.0312,23,1054
346,-347.0,389,0.0309,20,1054
347,-403.0,463,0.0306,23,1054
348,-299.0,345,0.0303,19,1055
349,-425.0,471,0.03,27,1055
350,-300.0,352,0.03,22,1055
351,-330.0,388,0.03,28,1058
352,-334.0,384,0.03,19,1059
353,-371.0,421,0.03,24,1059
354,-424.0,476,0.03,26,1060
355,-391.0,445,0.03,24,1060
356,-357.0,395,0.03,23,1065
357,-182.0,202,0.03,22,1076
358,-233.0,275,0.03,21,1083
359,-331.0,383,0.03,21,1083
360,-208.0,246,0.03,19,1087
361,-357.0,409,0.03,23,1088
362,-362.0,404,0.03,19,1090
363,-334.0,384,0.03,19,1092
364,-418.0,464,0.03,20,1093
365,-406.0,472,0.03,26,1093
366,-242.0,280,0.03,19,1095
367,-412.0,466,0.03,23,1095
368,-402.0,456,0.03,22,1095
369,-300.0,342,0.03,30,1099
370,-297.0,349,0.03,21,1099
371,-331.0,373,0.03,18,1099
372,-416.0,474,0.03,25,1099
373,-405.0,447,0.03,19,1100
374,-316.0,372,0.03,26,1101
375,-32.0,50,0.03,10,1102
376,-16.0,24,0.03,7,1103
377,-372.0,434,0.03,24,1104
378,-397.0,453,0.03,23,1104
379,-447.0,497,0.03,20,1105
380,-383.0,439,0.03,20,1107
381,-405.0,453,0.03,21,1107
382,-359.0,397,0.03,20,1107
383,-281.0,329,0.03,20,1108
384,-201.0,231,0.03,17,1113
385,-352.0,410,0.03,24,1113
386,-399.0,455,0.03,26,1113
387,-405.0,457,0.03,23,1113
388,-341.0,391,0.03,21,1113
389,-483.0,527,0.03,23,1113
390,-293.0,359,0.03,27,1118
391,-58.0,90,0.03,13,1118
392,-440.0,480,0.03,19,1119
393,-456.0,512,0.03,24,1119
394,-353.0,411,0.03,25,1119
395,-438.0,496,0.03,22,1120
396,-255.0,307,0.03,19,1120
397,-164.0,200,0.03,18,1124
398,-339.0,393,0.03,21,1125
399,-443.0,493,0.03,21,1125
400,-411.0,455,0.03,25,1125
401,-362.0,424,0.03,25,1126
402,-325.0,375,0.03,21,1126
403,-459.0,509,0.03,23,1126
404,-369.0,421,0.03,21,1126
405,-210.0,264,0.03,26,1135
406,-406.0,456,0.03,23,1136
407,-421.0,473,0.03,25,1136
408,-375.0,423,0.03,19,1138
409,-357.0,401,0.03,21,1139
410,-450.0,506,0.03,22,1142
411,-385.0,433,0.03,22,1143
412,-340.0,400,0.03,23,1143
413,-343.0,399,0.03,22,1143
414,-358.0,404,0.03,22,1143
415,-295.0,347,0.03,25,1145
416,-456.0,514,0.03,25,1145
417,-360.0,412,0.03,21,1145
418,-276.0,332,0.03,19,1147
419,-394.0,456,0.03,23,1148
420,-391.0,439,0.03,22,1149
421,-448.0,502,0.03,25,1151
422,-410.0,462,0.03,21,1151
423,-363.0,415,0.03,22,1151
424,-255.0,309,0.03,21,1155
425,-406.0,454,0.03,20,1156
426,-317.0,369,0.03,21,1157
427,-354.0,398,0.03,21,1157
428,-426.0,472,0.03,20,1157
429,-436.0,476,0.03,21,1157
430,-53.0,81,0.03,17,1158
431,-323.0,369,0.03,21,1158
432,-271.0,329,0.03,24,1161
433,-442.0,486,0.03,21,1161
434,-425.0,467,0.03,24,1161
435,-188.0,218,0.03,25,1166
436,-329.0,377,0.03,21,1167
437,-386.0,442,0.03,19,1168
438,-291.0,359,0.03,30,1169
439,-395.0,451,0.03,23,1170
440,-370.0,412,0.03,18,1170
441,-354.0,412,0.03,26,1170
442,-403.0,459,0.03,22,1172
443,-254.0,296,0.03,20,1173
444,-309.0,349,0.03,20,1175
445,-305.0,365,0.03,23,1176
446,-321.0,365,0.03,19,1179
447,-285.0,339,0.03,26,1180
448,-324.0,374,0.03,21,1180
449,-389.0,443,0.03,22,1180
450,-418.0,472,0.03,20,1181
451,-389.0,447,0.03,22,1181
452,-438.0,486,0.03,23,1181
453,-341.0,397,0.03,23,1181
454,-491.0,539,0.03,23,1185
455,-377.0,419,0.03,19,1185
456,-380.0,422,0.03,18,1185
457,-425.0,475,0.03,20,1186
458,-310.0,364,0.03,23,1187
459,-369.0,421,0.03,20,1187
460,-361.0,415,0.03,24,1187
461,-332.0,376,0.03,21,1191
462,-395.0,447,0.03,21,1191
463,-378.0,424,0.03,18,1191
464,-287.0,333,0.03,19,1194
465,-405.0,481,0.03,24,1195
466,-414.0,468,0.03,19,1195
467,-401.0,445,0.03,20,1195
468,7.0,5,0.03,3,1195
469,-280.0,322,0.03,18,1197
470,-178.0,218,0.03,23,1198
471,-333.0,381,0.03,21,1199
472,-297.0,357,0.03,26,1199
473,-444.0,504,0.03,23,1200
474,-402.0,466,0.03,27,1200
475,-428.0,484,0.03,24,1203
476,-164.0,200,0.03,18,1209
477,-486.0,530,0.03,22,1209
478,-372.0,432,0.03,22,1209
479,-429.0,479,0.03,21,1211
480,-302.0,344,0.03,22,1213
481,-144.0,182,0.03,16,1217
482,-333.0,377,0.03,20,1219
483,-297.0,353,0.03,31,1222
484,-392.0,444,0.03,24,1223
485,-328.0,372,0.03,20,1223
486,-314.0,370,0.03,23,1224
487,-479.0,529,0.03,24,1224
488,-413.0,475,0.03,25,1224
489,-465.0,519,0.03,20,1224
490,-282.0,318,0.03,23,1231
491,-381.0,435,0.03,21,1232
492,-427.0,469,0.03,19,1234
493,-341.0,399,0.03,23,1234
494,-334.0,384,0.03,20,1234
495,-321.0,373,0.03,21,1234
496,-324.0,366,0.03,17,1235
497,-309.0,339,0.03,18,1236
498,-434.0,498,0.03,26,1236
499,-363.0,425,0.03,24,1236
500,-424.0,472,0.03,22,1238
501,-426.0,472,0.03,23,1238
502,-375.0,433,0.03,21,1238
503,-363.0,419,0.03,21,1239
504,-388.0,442,0.03,22,1239
505,-326.0,378,0.03,23,1239
506,-470.0,530,0.03,25,1240
507,-430.0,478,0.03,21,1240
508,-394.0,432,0.03,18,1241
509,-222.0,282,0.03,28,1249
510,-394.0,450,0.03,22,1250
511,-383.0,431,0.03,19,1251
512,-370.0,422,0.03,21,1251
513,-228.0,272,0.03,24,1255
514,-424.0,474,0.03,23,1255
515,-395.0,451,0.03,22,1255
516,-358.0,398,0.03,19,1256
517,-379.0,425,0.03,21,1257
518,-406.0,458,0.03,21,1258
519,-267.0,319,0.03,25,1261
520,-394.0,446,0.03,21,1262
521,-470.0,514,0.03,20,1264
522,-321.0,367,0.03,20,1265
523,-378.0,426,0.03,21,1265
524,-311.0,355,0.03,18,1265
525,-362.0,408,0.03,20,1267
526,-302.0,370,0.03,33,1271
527,-355.0,407,0.03,24,1271
528,-353.0,395,0.03,19,1271
529,-201.0,235,0.03,18,1274
530,-355.0,419,0.03,25,1275
531,-201.0,241,0.03,23,1277
532,-304.0,368,0.03,24,1277
533,-402.0,458,0.03,24,1277
534,-239.0,285,0.03,22,1282
535,-303.0,349,0.03,22,1286
536,-351.0,403,0.03,24,1286
537,-435.0,483,0.03,19,1286
538,-334.0,380,0.03,21,1286
539,-503.0,557,0.03,24,1287
540,-418.0,472,0.03,27,1287
541,-442.0,500,0.03,24,1287
542,-356.0,398,0.03,22,1288
543,-198.0,230,0.03,19,1290
544,-369.0,419,0.03,24,1291
545,-320.0,368,0.03,21,1291
546,-441.0,497,0.03,24,1291
547,-432.0,484,0.03,22,1291
548,-505.0,559,0.03,24,1291
549,-302.0,356,0.03,21,1293
550,-450.0,502,0.03,20,1293
551,-297.0,343,0.03,19,1293
552,-397.0,447,0.03,22,1294
553,-187.0,225,0.03,16,1296
554,-334.0,374,0.03,21,1296
